Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
92,256,9.05859,0.66581,3.00781,0.75195,0.24174,0.24174
93,256,9.00391,0.65989,2.95703,0.73926,0.23557,0.23557
94,256,8.95312,0.65786,2.97656,0.74414,0.24591,0.24591
95,256,9.06641,0.66715,2.90625,0.72656,0.23034,0.23034
96,256,8.75000,0.64312,2.79688,0.69922,0.25575,0.25575
97,256,8.80078,0.64648,2.83594,0.70898,0.23614,0.23614
98,256,8.87500,0.65100,2.85156,0.71289,0.22890,0.22890
99,256,8.71875,0.64193,2.89062,0.72266,0.23938,0.23938
100,256,8.76562,0.64427,2.91016,0.72754,0.23452,0.23452
101,256,8.76953,0.64271,2.85156,0.71289,0.25395,0.25395
102,256,8.55078,0.62830,2.93750,0.73438,0.26475,0.26475
103,256,8.74609,0.64358,2.82812,0.70703,0.24076,0.24076
104,256,8.62500,0.63394,2.85938,0.71484,0.25514,0.25514
105,256,8.66797,0.63673,3.03516,0.75879,0.24928,0.24928
106,256,8.64453,0.63410,3.03906,0.75977,0.26834,0.26834
107,256,8.55469,0.62985,3.00781,0.75195,0.27257,0.27257
108,256,8.68750,0.63853,3.02734,0.75684,0.24851,0.24851
109,256,8.62500,0.63212,3.02734,0.75684,0.26408,0.26408
110,256,8.62109,0.63347,3.03906,0.75977,0.25281,0.25281
111,256,8.71484,0.64128,3.05469,0.76367,0.24557,0.24557
112,256,8.56641,0.62963,3.00391,0.75098,0.25445,0.25445
113,256,8.69141,0.63845,3.03516,0.75879,0.26128,0.26128
114,256,8.67188,0.63610,3.01172,0.75293,0.25308,0.25308
115,256,8.39844,0.61835,2.97656,0.74414,0.25366,0.25366
116,256,8.54688,0.62819,2.98438,0.74609,0.24706,0.24706
117,256,8.59766,0.63012,3.07031,0.76758,0.25098,0.25098
118,256,8.46094,0.62170,3.00781,0.75195,0.24937,0.24937
119,256,8.56250,0.63007,2.98828,0.74707,0.24411,0.24411
120,256,8.51953,0.62618,3.01172,0.75293,0.25511,0.25511
121,256,8.75391,0.64304,3.23828,0.80957,0.20811,0.20811
122,256,8.67969,0.63668,3.30078,0.82520,0.22909,0.22909
123,256,8.45312,0.62238,3.20312,0.80078,0.25518,0.25518
124,256,8.72266,0.64111,3.21875,0.80469,0.21693,0.21693
125,256,8.87500,0.65044,3.50781,0.87695,0.25272,0.25272
