epoch,acc,loss,val_acc,val_loss
0,0.0,88.95900026957194,0.0,71.81610012054443
1,0.0,66.38124243418376,0.0,63.951948165893555
2,0.0,62.73257557551066,0.0,63.39954853057861
3,0.0,60.27486880620321,0.0,62.05944204330444
4,0.0,59.21298122406006,0.0,61.06727647781372
5,0.0,57.15312655766805,0.0,60.22388505935669
6,0.0,56.77022775014242,0.0,60.0412015914917
7,0.0,56.714073499043785,0.0,60.77407360076904
8,0.0,55.98102124532064,0.0,59.58071041107178
9,0.0,54.255767027537026,0.0,59.35832977294922
10,0.0,54.34858910242716,0.0,59.89658164978027
11,0.0,54.78469371795654,0.0,58.301684856414795
12,0.0,53.96763245264689,0.0,56.931522846221924
13,0.0,54.205442587534584,0.0,56.32504940032959
14,0.0,53.525006453196205,0.0,55.47398805618286
15,0.0,52.478782971700035,0.0,55.16681241989136
16,0.0,52.302589893341064,0.0,55.5024733543396
17,0.0,52.191134452819824,0.0,55.23394155502319
18,0.0,51.67921050389608,0.0,54.826815128326416
19,0.0,52.26679499944051,0.0,54.64802074432373
20,0.0,51.60964107513428,0.0,54.29559278488159
21,0.0,51.05162811279297,0.0,54.01939868927002
22,0.0,51.40400425593058,0.0,54.19507932662964
23,0.0,51.31494983037313,0.0,54.16805410385132
24,0.0,50.78067350387573,0.0,54.10803699493408
25,0.0,50.522438844045006,0.0,53.56518220901489
26,0.0,50.38147656122843,0.0,53.921202659606934
27,0.0,49.87119595209757,0.0,53.96825838088989
28,0.0,49.94318167368571,0.0,54.073195457458496
29,0.0,50.34042501449585,0.0,53.680601596832275
30,0.0,49.79786364237467,0.0,53.78960990905762
31,0.0,50.14998404184977,0.0,53.73548889160156
32,0.0,49.98155657450358,0.0,53.98708391189575
33,0.0,49.53655290603638,0.0,53.77908754348755
34,0.0,49.123967011769615,0.0,53.985344886779785
35,0.0,49.05265347162882,0.0,53.663920402526855
36,0.0,49.05818223953247,0.0,53.80938720703125
37,0.0,48.70698070526123,0.0,53.96242427825928
38,0.0,49.045992056528725,0.0,53.26433992385864
39,0.0,48.780001163482666,0.0,53.46831226348877
40,0.0,48.820985635121666,0.0,53.46437692642212
41,0.0,48.577353636423744,0.0,53.59478998184204
42,0.0,48.48958047231039,0.0,53.37987804412842
43,0.0,48.22480424245199,0.0,53.348947525024414
44,0.0,48.05485916137695,0.0,53.54784297943115
45,0.0,48.247971534729004,0.0,53.647757053375244
46,0.0,47.687920252482094,0.0,53.197288036346436
47,0.0,48.15247662862142,0.0,53.77505445480347
48,0.0,48.03226296106974,0.0,53.41170597076416
49,0.0,47.601401487986244,0.0,53.07145881652832
50,0.0,47.87328577041626,0.0,53.11963701248169
51,0.0,47.561567624409996,0.0,53.4785041809082
52,0.0,47.61629470189413,0.0,53.3304967880249
53,0.0,47.53715721766154,0.0,53.19853067398071
54,0.0,47.13470188776652,0.0,52.9507999420166
55,0.0,46.632715384165444,0.0,53.19511651992798
56,0.0,47.12679068247477,0.0,53.384907722473145
57,0.0,46.851797103881836,0.0,53.36316108703613
58,0.0,47.17979669570923,0.0,53.39028739929199
59,0.0,46.28691307703654,0.0,53.44116401672363
60,0.0,47.32981729507446,0.0,53.373244285583496
61,0.0,46.57105827331543,0.0,53.418193340301514
62,0.0,46.29258505503336,0.0,53.76292943954468
63,0.0,46.34206008911133,0.0,53.49356412887573
64,0.0,46.046247482299805,0.0,53.57455062866211
65,0.0,46.046764850616455,0.0,54.129711627960205
66,0.0,45.64860280354818,0.0,53.9711856842041
67,0.0,46.20563888549805,0.0,54.28104543685913
68,0.0,45.665181954701744,0.0,53.802183628082275
69,0.0,45.69446770350138,0.0,54.32509803771973
70,0.0,45.419602711995445,0.0,53.94064283370972
71,0.0,43.86580181121826,0.0,51.832446575164795
72,0.0,38.13965900739034,0.0,33.721455574035645
73,0.0,30.785894950230915,0.0,32.615838050842285
74,0.0,29.906168301900227,0.0,32.70654320716858
75,0.0,29.57728401819865,0.0,32.70141577720642
76,0.0,29.34461800257365,0.0,32.7211229801178
77,0.0,29.183174053827923,0.0,32.69359540939331
78,0.0,28.994821468989056,0.0,32.67919683456421
79,0.0,28.771672010421753,0.0,32.67617630958557
80,0.0,28.674882570902508,0.0,32.50295686721802
81,0.0,28.55892737706502,0.0,32.56885313987732
82,0.0,28.307921409606934,0.0,32.545761823654175
83,0.0,28.290194352467854,0.0,32.49794006347656
84,0.0,28.091339111328125,0.0,32.41220784187317
85,0.0,27.931061029434204,0.0,32.50390148162842
86,0.0,27.79283340771993,0.0,32.35033082962036
87,0.0,27.874921321868896,0.0,32.270620584487915
88,0.0,27.671108722686768,0.0,32.376511335372925
89,0.0,27.47303016980489,0.0,32.467183351516724
90,0.0,27.371496597925823,0.0,32.42335510253906
91,0.0,27.201456626256306,0.0,32.461705684661865
92,0.0,26.97153949737549,0.0,32.23084354400635
93,0.0,26.955601533253986,0.0,32.279974937438965
94,0.0,26.85497283935547,0.0,32.11587405204773
95,0.0,26.67583918571472,0.0,31.927509784698486
96,0.0,26.588003873825073,0.0,31.913255214691162
97,0.0,26.543530146280926,0.0,32.039639949798584
98,0.0,26.32085943222046,0.0,31.804834604263306
99,0.0,26.219059864679974,0.0,31.97092604637146
100,0.0,26.11662705739339,0.0,31.636291027069092
101,0.0,26.02165985107422,0.0,31.305575370788574
102,0.0,26.028857549031574,0.0,31.28732204437256
103,0.0,25.8902530670166,0.0,31.143110752105713
104,0.0,25.593100706736248,0.0,31.378657817840576
105,0.0,25.494157314300537,0.0,31.262243032455444
106,0.0,25.326796134312946,0.0,31.277591228485107
107,0.0,25.39838965733846,0.0,31.03746461868286
108,0.0,25.304608980814617,0.0,31.170918226242065
109,0.0,25.187199354171753,0.0,30.792782306671143
110,0.0,25.105260531107586,0.0,30.75028681755066
111,0.0,24.837594985961914,0.0,30.715769290924072
112,0.0,24.81210470199585,0.0,30.509881496429443
113,0.0,24.516996383666992,0.0,30.047344207763672
114,0.0,24.12819480895996,0.0,30.02876925468445
115,0.0,24.016288836797077,0.0,30.42836356163025
116,0.0,23.842115958531696,0.0,30.005242109298706
117,0.0,23.776691675186157,0.0,29.691966772079468
